age	F	A	E	B	H	C	D	I	G
507.638222	0.000629539318023659	0.000127738343771747	0.440786806541405	4.64662491301323e-05	0.0460663263743911	0.0013067341684064	0.00267521851078636	0.00168578844815588	0.504587615866388
462.605625	0.00273681071677105	0.000193691022964509	0.529977877522616	0.000190593597773139	0.0379837599164927	0.0119585949895616	0.0366177286012526	0.000874139874739039	0.37737913013222
236.501192	0.000163453027139875	7.33340292275574e-05	0.470690357689631	8.63117606123869e-05	0.0351195929018789	0.000383058455114822	0.000792370911621433	0.00132674112734864	0.491364789839944
222.52619	0.000208781489213639	6.9187195546277e-05	0.551111418928323	7.46012526096034e-05	0.02036108072373	0.000705644398051496	0.00167297355601949	0.000506274878218511	0.425290021572721
54.381289	7.94613778705638e-05	3.03409881697981e-07	0.851282015309673	1.89422407794016e-06	0.00272138970076549	0.00196418023660404	0.00903278844815587	1.39415448851774e-05	0.134903729297147
46.45888	7.87752261656232e-07	0	0.843261633959638	2.12943632567849e-07	0.00112092901878914	7.69241475295755e-05	0.00105735003479471	1.47529575504523e-06	0.154480513569937
43.02675	0	0	0.740660613082811	0	0.000265165622825331	3.01322199025748e-07	3.91301322199026e-06	1.00904662491301e-07	0.259069829505915
36.221488	0	0	0.876773897007655	0	4.80633263743911e-05	5.58803061934587e-07	6.82741823242868e-06	7.65483646485734e-09	0.123170562978427
29.889945	0	0	0.885144751565762	0	2.38830897703549e-05	1.48921363952679e-07	2.88587334725122e-06	0	0.114828281141267
0	0	0	0	0	0	0	0	0	0
27.086843	1.27348643006263e-07	0	0.844375695198329	0	0.000140517745302714	4.02157272094642e-06	2.34272790535839e-05	9.67292971468336e-08	0.155456048712596
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
99.503959	3.23799582463465e-06	1.52887961029924e-06	0.516793983298539	5.25678496868477e-06	0.00919950104384134	3.01259568545581e-05	0.000114125260960334	6.63208072373e-05	0.473785729993041
50.593494	0	1.04384133611691e-08	0.212063153792624	4.87125956854557e-07	0.00872882602644398	1.23173277661795e-07	2.4544189283229e-06	1.61725817675713e-05	0.779188455114823
45.763795	5.7759220598469e-08	1.62004175365345e-06	0.141963064718163	8.36951983298538e-06	0.0694935935977732	9.8538622129437e-07	1.37181628392484e-05	0.000795086290883786	0.787723292275574
33.242805	1.96242171189979e-07	5.61656228253307e-06	0.0445788267223382	2.84057063326374e-05	0.273698201113431	3.72720946416145e-06	4.84989561586639e-05	0.0037711704940849	0.677865267919277
13.330248	3.53514265831593e-07	1.71725817675714e-05	0.000186408489909534	0.000110594989561587	0.971176634655532	8.33333333333334e-06	0.000125343771746694	0.0127499401530967	0.0156250981210856
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
24.167189	5.14961725817675e-08	1.73973556019485e-08	0.159796841336117	1.34864300626305e-06	0.0312761043841336	2.07306889352818e-06	3.02860125260961e-05	9.15372303409882e-05	0.808801585942938
0	0	0	0	0	0	0	0	0	0
18.900342	0	0	0.528847126652749	0	0.000271702157272095	2.47042449547669e-07	2.85525400139179e-06	6.26304801670145e-08	0.470877963117606
3.194533	0	0	0.994790217118999	0	2.22686151704941e-08	0	2.77661795407098e-07	0	0.00520945929018789
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
29.490323	1.05859429366736e-05	5.22059846903272e-06	0.317473973556019	1.2883785664579e-05	0.063655624217119	6.21781489213638e-05	0.000284848990953375	0.000929373695198331	0.617565165622826
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
4.272612	0	0	0.462358279749478	0	1.45128740431454e-05	0	1.25956854558107e-07	0	0.537627076548365
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
54.37927	4.08128044537232e-05	1.05567153792624e-06	0.678809389004872	2.39665970772443e-06	0.0390635024356298	0.000642963117606124	0.0031825114822547	0.000262239387613083	0.277995007654836
52.398842	0.0118693166318719	0.00209199304105776	0.0654193277661795	0.00172691510090466	0.465864220598469	0.0532357265135699	0.329378836464857	0.0161087230340988	0.0543049853862213
26.693105	0.0057241621433542	1.64947807933194e-05	0.00869173068893528	2.69533750869868e-05	0.00681510020876827	0.0949411621433542	0.883188279053584	4.29394572025053e-05	0.000553112734864301
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
30.981207	8.28114126652748e-08	0	0.84790134098817	0	0.000132050104384134	3.21920668058455e-06	2.00069589422408e-05	8.35073068893527e-08	0.151943137091162
0	0	0	0	0	0	0	0	0	0
10.336851	0	0	0.957032261656228	0	4.53235908141963e-06	2.01809324982602e-07	3.23799582463466e-06	0	0.0429596951983298
