Rate	71.43
Rev Jump	14.29
Prior Change	14.29
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Prior Change Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
2	0.500000	1	0.000000	997	0.040120	0.479668	8	0.625000	0.041000	0.077139	
1	0.000000	0.0	0	999	0.043043	0.479668	9	0.555556	0.043000	0.076614	
2	0.500000	0.0	0	998	0.043086	0.479668	11	0.545455	0.044000	0.076120	
0.0	0	0.0	0	1000	0.059000	0.622666	0	0.000000	0.059000	0.075865	
0.0	0	0.0	0	1000	0.050000	0.622666	0	0.000000	0.050000	0.075484	
3	0.333333	0.0	0	997	0.044132	0.622666	3	0.333333	0.045000	0.075042	
1	0.000000	0.0	0	999	0.061061	0.622666	4	0.250000	0.061000	0.074842	
5	0.400000	2	0.000000	993	0.025176	0.622666	9	0.333333	0.027000	0.074168	
2	1.000000	2	0.000000	996	0.024096	0.622666	11	0.454545	0.026000	0.073499	
1	0.000000	0.0	0	999	0.040040	0.722614	1	0.000000	0.040000	0.073040	
2	0.000000	0.0	0	998	0.046092	0.722614	3	0.000000	0.046000	0.072675	
8	0.250000	1	0.000000	991	0.032291	0.722614	11	0.181818	0.034000	0.072159	
8	0.375000	1	1.000000	991	0.053481	0.663166	8	0.375000	0.057000	0.071960	
2	0.000000	0.0	0	998	0.039078	0.663166	10	0.300000	0.039000	0.071532	
2	0.000000	0.0	0	998	0.044088	0.663166	2	0.000000	0.044000	0.071179	
0.0	0	0.0	0	1000	0.027000	0.663166	2	0.000000	0.027000	0.070619	
0.0	0	0.0	0	1000	0.035000	0.663166	2	0.000000	0.035000	0.070174	
0.0	0	0.0	0	1000	0.033000	0.663166	2	0.000000	0.033000	0.069715	
2	1.000000	0.0	0	998	0.028056	0.663166	4	0.500000	0.030000	0.069231	
4	0.000000	0.0	0	996	0.044177	0.663166	8	0.250000	0.044000	0.068927	
10	0.400000	0.0	0	990	0.041414	0.663166	18	0.333333	0.045000	0.068642	
9	0.333333	1	0.000000	990	0.045455	0.663166	9	0.333333	0.048000	0.068399	
9	0.111111	0.0	0	991	0.041372	0.663166	18	0.222222	0.042000	0.068092	
2	0.500000	0.0	0	998	0.028056	0.663166	2	0.500000	0.029000	0.067643	
6	0.500000	0.0	0	994	0.042254	0.663166	8	0.500000	0.045000	0.067386	
3	0.666667	0.0	0	997	0.035105	0.663166	11	0.545455	0.037000	0.067044	
6	0.166667	0.0	0	994	0.043260	1.103131	6	0.166667	0.044000	0.066788	
2	0.500000	0.0	0	998	0.033066	1.103131	8	0.250000	0.034000	0.066428	
2	0.000000	1	0.000000	997	0.035105	1.103131	10	0.200000	0.035000	0.066086	
4	0.000000	0.0	0	996	0.036145	1.103131	4	0.000000	0.036000	0.065763	
6	0.000000	1	0.000000	993	0.049345	1.103131	10	0.000000	0.049000	0.065584	
3	0.333333	3	0.000000	994	0.033199	0.724417	3	0.333333	0.034000	0.065252	
3	0.000000	1	0.000000	996	0.026104	0.724417	6	0.166667	0.026000	0.064843	
4	0.000000	0.0	0	996	0.031124	0.724417	10	0.100000	0.031000	0.064494	
2	0.000000	0.0	0	998	0.028056	0.678026	2	0.000000	0.028000	0.064122	
1	0.000000	0.0	0	999	0.036036	0.678026	3	0.000000	0.036000	0.063838	
2	0.500000	0.0	0	998	0.036072	0.678026	5	0.200000	0.037000	0.063569	
0.0	0	0.0	0	1000	0.031000	0.678026	5	0.200000	0.031000	0.063247	
0.0	0	0.0	0	1000	0.030000	0.678026	5	0.200000	0.030000	0.062921	
2	0.000000	0.0	0	998	0.049098	0.678026	7	0.142857	0.049000	0.062786	
0.0	0	0.0	0	1000	0.038000	0.678026	7	0.142857	0.038000	0.062547	
1	0.000000	0.0	0	999	0.036036	0.678026	8	0.125000	0.036000	0.062295	
2	1.000000	0.0	0	998	0.035070	0.678026	10	0.300000	0.037000	0.062056	
3	0.333333	0.0	0	997	0.037111	0.678026	3	0.333333	0.038000	0.061831	
4	0.000000	1	1.000000	995	0.031156	0.678026	7	0.142857	0.032000	0.061555	
4	0.750000	1	0.000000	995	0.044221	0.678026	11	0.363636	0.047000	0.061421	
7	0.142857	0.0	0	993	0.033233	0.678026	7	0.142857	0.034000	0.061172	
