	-	A	AB	ABG	B	BG	G	GM	M
-	-	0.000875815656565658	X	X	0.000259015151515152	X	0.00107222095959596	X	0.00758444191919191
A	0.000635839646464646	-	0.00424579671717172	X	X	X	X	X	X
AB	X	0.00092470580808081	-	0.00766111237373737	0.030109023989899	X	X	X	X
ABG	X	X	0.0349692702020202	-	X	0.00938175757575757	X	X	X
B	0.000842647727272728	X	0.00782932575757575	X	-	0.000984482323232325	X	X	X
BG	X	X	X	0.0322976262626263	0.0302634747474748	-	0.00760432323232323	X	X
G	0.000844463383838385	X	X	X	X	0.00092470580808081	-	5.65871212121212e-05	X
GM	X	X	X	X	X	X	0.00758197222222222	-	0.0322721654040404
M	0.0327168396464646	X	X	X	X	X	X	0.0349692702020202	-
