	-	A	AB	ABG	B	BG	G	GM	M
-	-	0.000304991161616162	X	X	0.000161771464646465	X	0.00127534722222222	X	0.0208347297979798
A	0.000727371212121213	-	0.00214410353535353	X	X	X	X	X	X
AB	X	0.00186273358585858	-	0.0207530593434344	0.020746672979798	X	X	X	X
ABG	X	X	0.114287883838384	-	X	0.00958796843434344	X	X	X
B	0.000303545454545455	X	0.00216991287878788	X	-	0.00210578409090909	X	X	X
BG	X	X	X	0.0208347297979798	0.0148025353535353	-	0.0208347297979798	X	X
G	0.000304747474747475	X	X	X	X	0.00210578409090909	-	0.000207603535353535	X
GM	X	X	X	X	X	X	0.0134045063131313	-	0.0208347297979798
M	0.109418667929293	X	X	X	X	X	X	0.0208411161616162	-
