	-	A	AB	ABG	B	BG	G	GM	M
-	-	0.000852195707070706	X	X	0.000296440656565657	X	0.000829902777777777	X	0.00286464141414141
A	0.00324379166666666	-	0.00528565656565656	X	X	X	X	X	X
AB	X	0.00638905934343435	-	0.00640112878787879	0.0226163497474747	X	X	X	X
ABG	X	X	0.0349878573232323	-	X	0.0138084797979798	X	X	X
B	0.000693618686868687	X	0.00639986742424243	X	-	0.000905914141414141	X	X	X
BG	X	X	X	0.0349363005050505	0.0287813106060606	-	0.0126599103535354	X	X
G	0.000802940656565655	X	X	X	X	0.000907737373737373	-	0.00058600505050505	X
GM	X	X	X	X	X	X	0.0163061628787879	-	0.00588470075757576
M	0.0131700328282828	X	X	X	X	X	X	0.00915893686868687	-
