	-	A	AB	ABG	B	BG	G	GM	M
-	-	0.000648602272727272	X	X	0.000168963383838384	X	0.00147813383838384	X	0.00176671590909091
A	0.000940670454545454	-	0.0114855075757576	X	X	X	X	X	X
AB	X	0.00396323358585859	-	0.00562610227272727	0.0127933737373737	X	X	X	X
ABG	X	X	0.0530934305555555	-	X	0.0480201742424243	X	X	X
B	0.000534489898989899	X	0.00725357828282829	X	-	0.00149430681818182	X	X	X
BG	X	X	X	0.052825803030303	0.0494650265151515	-	0.026743563131313	X	X
G	0.000557978535353535	X	X	X	X	0.00148981186868687	-	6.09128787878787e-05	X
GM	X	X	X	X	X	X	0.00725386742424243	-	0.0468507525252525
M	0.0086809494949495	X	X	X	X	X	X	0.048267047979798	-
