	-	A	AB	ABG	B	BG	G	GM	M
-	-	0.000755069444444445	X	X	0.000236568181818182	X	0.00109461111111111	X	0.00132620454545455
A	0.00147969191919192	-	0.0102551363636363	X	X	X	X	X	X
AB	X	0.00243780176767677	-	0.00842855303030303	0.00999351893939393	X	X	X	X
ABG	X	X	0.0677041881313132	-	X	0.06689123989899	X	X	X
B	0.000661617424242424	X	0.00764587626262625	X	-	0.00131295707070707	X	X	X
BG	X	X	X	0.0677041881313132	0.0667912196969698	-	0.00996653535353534	X	X
G	0.000667152777777778	X	X	X	X	0.00111560858585859	-	0.000158625	X
GM	X	X	X	X	X	X	0.00838659217171717	-	0.0677041881313132
M	0.00840639772727272	X	X	X	X	X	X	0.0677041881313132	-
