Rate	71.43
Rev Jump	14.29
Prior Change	14.29
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Prior Change Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
253	0.284585	45	0.022222	702	0.035613	0.705541	253	0.284585	0.098000	0.119444	
282	0.209220	43	0.093023	675	0.044444	0.705541	282	0.209220	0.093000	0.117240	
185	0.237838	36	0.027778	779	0.051348	0.705541	185	0.237838	0.085000	0.114760	
155	0.303226	8	0.000000	837	0.053763	0.705541	155	0.303226	0.092000	0.113135	
136	0.242647	22	0.045455	842	0.068884	0.705541	136	0.242647	0.092000	0.111726	
95	0.284211	18	0.000000	887	0.038331	0.705541	95	0.284211	0.061000	0.108556	
135	0.237037	21	0.047619	844	0.061611	0.705541	135	0.237037	0.085000	0.107170	
164	0.317073	19	0.000000	817	0.052632	0.705541	164	0.317073	0.095000	0.106494	
152	0.243421	26	0.000000	822	0.059611	0.705541	152	0.243421	0.086000	0.105416	
124	0.282258	13	0.000000	863	0.074160	0.705541	124	0.282258	0.099000	0.105095	
120	0.358333	19	0.052632	861	0.027875	0.705541	120	0.358333	0.068000	0.103328	
147	0.224490	37	0.000000	816	0.058824	0.705541	147	0.224490	0.081000	0.102314	
133	0.270677	40	0.025000	827	0.033857	0.705541	133	0.270677	0.065000	0.100691	
152	0.217105	27	0.037037	821	0.041413	0.705541	152	0.217105	0.068000	0.099329	
142	0.239437	22	0.045455	836	0.044258	0.705541	142	0.239437	0.072000	0.098236	
125	0.216000	19	0.000000	856	0.049065	0.705541	125	0.216000	0.069000	0.097112	
123	0.170732	18	0.000000	859	0.072177	0.705541	123	0.170732	0.083000	0.096589	
143	0.419580	20	0.000000	837	0.063321	0.465956	143	0.419580	0.113000	0.097175	
156	0.185897	29	0.000000	815	0.053988	0.918330	156	0.185897	0.073000	0.096342	
131	0.389313	21	0.000000	848	0.058962	0.511252	131	0.389313	0.101000	0.096497	
133	0.451128	32	0.062500	835	0.034731	0.511252	133	0.451128	0.091000	0.096319	
179	0.167598	18	0.000000	803	0.051059	0.938635	179	0.167598	0.071000	0.095528	
159	0.220126	39	0.000000	802	0.061097	0.780408	159	0.220126	0.084000	0.095179	
131	0.206107	16	0.000000	853	0.070340	0.780408	131	0.206107	0.087000	0.094938	
154	0.227273	30	0.000000	816	0.052696	0.780408	154	0.227273	0.078000	0.094454	
123	0.227642	18	0.055556	859	0.037253	0.780408	123	0.227642	0.061000	0.093525	
72	0.222222	24	0.041667	904	0.014381	0.780408	72	0.222222	0.030000	0.091808	
42	0.095238	7	0.000000	951	0.016824	0.780408	42	0.095238	0.020000	0.089919	
67	0.343284	19	0.052632	914	0.024070	0.522447	67	0.343284	0.046000	0.088793	
54	0.425926	21	0.047619	925	0.024865	0.522447	54	0.425926	0.047000	0.087748	
64	0.250000	18	0.000000	918	0.023965	0.741633	64	0.250000	0.038000	0.086534	
85	0.247059	17	0.058824	898	0.036748	0.741633	85	0.247059	0.055000	0.085784	
128	0.117188	20	0.050000	852	0.052817	0.741633	128	0.117188	0.061000	0.085207	
138	0.231884	23	0.000000	839	0.059595	0.640364	138	0.231884	0.082000	0.085134	
132	0.325758	19	0.000000	849	0.065960	0.640364	132	0.325758	0.099000	0.085443	
151	0.291391	24	0.000000	825	0.049697	0.640364	151	0.291391	0.085000	0.085433	
141	0.304965	14	0.000000	845	0.062722	0.640364	141	0.304965	0.096000	0.085658	
150	0.326667	22	0.000000	828	0.054348	0.640364	150	0.326667	0.094000	0.085832	
147	0.190476	20	0.100000	833	0.057623	0.640364	147	0.190476	0.078000	0.085672	
147	0.510204	32	0.000000	821	0.045067	0.381663	147	0.510204	0.112000	0.086198	
141	0.241135	21	0.000000	838	0.057279	0.731278	141	0.241135	0.082000	0.086116	
123	0.186992	32	0.000000	845	0.047337	0.731278	123	0.186992	0.063000	0.085671	
129	0.356589	22	0.000000	849	0.053004	0.591514	129	0.356589	0.091000	0.085772	
144	0.291667	28	0.000000	828	0.059179	0.591514	144	0.291667	0.091000	0.085869	
153	0.333333	23	0.000000	824	0.080097	0.591514	153	0.333333	0.117000	0.086435	
130	0.369231	22	0.000000	848	0.053066	0.591514	130	0.369231	0.093000	0.086552	
146	0.273973	24	0.000000	830	0.068675	0.591514	146	0.273973	0.097000	0.086735	
145	0.324138	21	0.000000	834	0.063549	0.591514	145	0.324138	0.100000	0.086964	
143	0.279720	30	0.000000	827	0.066505	0.591514	143	0.279720	0.095000	0.087100	
134	0.298507	28	0.000000	838	0.039379	0.591514	134	0.298507	0.073000	0.086865	
123	0.292683	14	0.000000	863	0.053302	0.591514	123	0.292683	0.082000	0.086785	
146	0.349315	31	0.000000	823	0.086270	0.591514	146	0.349315	0.122000	0.087353	
131	0.374046	24	0.083333	845	0.055621	0.591514	131	0.374046	0.098000	0.087522	
119	0.336134	21	0.000000	860	0.055814	0.591514	119	0.336134	0.088000	0.087530	
126	0.341270	15	0.000000	859	0.062864	0.591514	126	0.341270	0.097000	0.087676	
114	0.324561	18	0.111111	868	0.043779	0.591514	114	0.324561	0.077000	0.087514	
70	0.200000	16	0.062500	914	0.025164	0.591514	70	0.200000	0.038000	0.086775	
78	0.256410	17	0.058824	905	0.029834	0.591514	78	0.256410	0.048000	0.086205	
88	0.204545	16	0.062500	896	0.039062	0.591514	88	0.204545	0.054000	0.085738	
62	0.274194	23	0.000000	915	0.031694	0.591514	62	0.274194	0.046000	0.085170	
64	0.375000	18	0.000000	918	0.023965	0.591514	64	0.375000	0.046000	0.084619	
29	0.034483	17	0.000000	954	0.037736	0.591514	29	0.034483	0.037000	0.083957	
88	0.420455	21	0.000000	891	0.034792	0.306649	88	0.420455	0.068000	0.083739	
