	-	A	AB	ABG	B	BG	G	GM	M
-	-	0.000916286616161616	X	X	0.000126713383838384	X	0.00457262121212121	X	0.00114277398989899
A	0.0010364898989899	-	0.00465042171717172	X	X	X	X	X	X
AB	X	0.00115033712121212	-	0.00467367297979798	0.0244282752525252	X	X	X	X
ABG	X	X	0.0264423106060606	-	X	0.00668258207070708	X	X	X
B	0.00086248106060606	X	0.00467367297979798	X	-	0.00115756818181818	X	X	X
BG	X	X	X	0.0261339911616161	0.0249007651515151	-	0.0261102146464646	X	X
G	0.00091460606060606	X	X	X	X	0.00114653787878788	-	1.35012626262626e-05	X
GM	X	X	X	X	X	X	0.00454649621212121	-	0.026097755050505
M	0.00610924242424243	X	X	X	X	X	X	0.026342827020202	-
