732	4 (A B G M)
Cephalanthera_longibracteata	0100
Cephalanthera_longifolia	1110
Cephalanthera_rubra	1100
Cephalozia_bicuspidata	1000
Cephaloziella_varians	1000
Cercocarpus_ledifolius	1100
Chamaecyparis_obtusa	0010
Chamerion_angustifolium	0010
Chimaphila_umbellata	1100
Cinchona_officinalis	0010
Cinnamomum_bejolghota	0100
Citrullus_colocynthis	0010
Citrus_maxima	0110
Clematis_vitalba	0010
Clintonia_borealis	0010
Cneorum_tricoccon	0010
Coffea_arabica	0010
Comarostaphylis_arbutoides	1100
Commelina_benghalensis	0010
Conocephalum_conicum	0010
Convallaria_majalis	0010
Conyza_canadensis	0010
Corallorhiza_trifida	0100
Cornus_suecica	0010
Corycium_carnosum	0100
Corylus_avellana	1100
Corylus_colurna	0100
Crataegus_monogyna	0010
Cremastra_appendiculata	0100
Cymbidium_ensifolium	0100
Cymbidium_floribundum	0100
Cymbidium_goeringii	0100
Cymbidium_lancifolium	0100
Cymbidium_macrorhizon	0100
Cymbidium_sinense	0100
Cymbopogon_nardus	0010
Cynara_cardunculus	0010
Cynosurus_cristatus	0010
Cynosurus_echinatus	0010
Cypripedium_acaule	0100
Cypripedium_arietinum	0100
Cypripedium_calceolus	0100
Cypripedium_californicum	0110
Cypripedium_candidum	0100
Cypripedium_debile	0100
Cypripedium_fasciculatum	0100
Cypripedium_flavum	0100
Cypripedium_formosanum	0100
Cypripedium_guttatum	0100
Cypripedium_japonicum	0100
Cypripedium_montanum	0100
Cypripedium_parviflorum	0110
Cypripedium_reginae	0100
Cypripedium_tibeticum	0100
Dacrycarpus_dacrydioides	0010
Dactylis_glomerata	0010
Daucus_carota	0010
Delonix_regia	0010
Dendrobium_catenatum	0100
Dendrobium_chrysanthum	0100
Dendrobium_crumenatum	0100
Dendrobium_fimbriatum	0100
Dendrobium_nobile	0100
Dendroceros_crispus	0000
Dendroceros_validus	0000
Dendrolycopodium_dendroideum	0000
Dichrostachys_cinerea	0010
Dicksonia_squarrosa	0010
Dicorynia_guianensis	0010
Dimocarpus_longan	0110
Dioscorea_rotundata	0010
Diphasiastrum_alpinum	1110
Diplophyllum_albicans	0100
Diplophyllum_obtusifolium	0100
Diplopterygium_glaucum	0010
Dipterocarpus_tuberculatus	0100
Disa_bracteata	0100
Disperis_capensis	0100
Dodonaea_viscosa	0010
Dryas_integrifolia	1100
Dryas_octopetala	1100
Dysphania_ambrosioides	0010
Elephantopus_scaber	0010
Empetrum_nigrum	1100
Enkianthus_campanulatus	0010
Enkianthus_cernuus	0010
Enkianthus_nudipes	0010
Enkianthus_perulatus	0010
Enkianthus_sikokianus	0010
Enkianthus_subsessilis	0010
Eperua_falcata	0010
Eperua_grandiflora	0010
Ephedra_fragilis	0010
Epidendrum_rhopalostele	0100
Epilobium_ciliatum	0010
Epipactis_albensis	1100
Epipactis_atrorubens	1100
Epipactis_dunensis	1100
Epipactis_helleborine	1100
Epipactis_palustris	1100
Epipactis_purpurata	1100
Equisetum_fluviatile	0000
Erica_carnea	1000
Erica_ciliaris	0100
Erica_cinerea	1100
Erica_vagans	0100
Eriochilus_cucullatus	0100
Erythranthe_guttata	0010
Eucalyptus_camaldulensis	0100
Eucalyptus_globulus	0100
Eucalyptus_gunnii	1100
Eucalyptus_marginata	0100
Eucalyptus_nitens	1100
Excoecaria_agallocha	0010
Exormotheca_pustulosa	0000
Fagopyrum_esculentum	0010
Fagopyrum_tataricum	0010
Fagus_grandifolia	0100
Fagus_sylvatica	1100
Faramea_occidentalis	0010
Festuca_idahoensis	0010
Festuca_ovina	0010
Festuca_pratensis	0010
Festuca_rubra	0010
Festuca_rupicola	0010
Folioceros_fuciformis	0010
Folioceros_glandulosus	0010
Fossombronia_angulosa	0010
Fragaria_vesca	0010
Fraxinus_excelsior	0010
Galium_album	0010
Galium_aparine	0010
Gaultheria_procumbens	0100
Gaultheria_shallon	1100
Genista_cinerea	0010
Geothallus_tuberosus	0000
Geranium_pratense	0010
Geum_rivale	0010
Ginkgo_biloba	0010
Glechoma_hederacea	0010
Gleichenia_microphylla	0010
Gliricidia_sepium	0010
Glycine_max	0010
Gnetum_gnemon	0100
Goodyera_foliosa	1100
Goodyera_maximowicziana	0100
Goodyera_oblongifolia	0100
Goodyera_procera	1100
Goodyera_pubescens	0100
Goodyera_repens	0100
Goodyera_schlechtendaliana	0100
Goodyera_velutina	1100
