age	F	A	J	K	E	B	H	C	D	I	G
1.930733	0	0	0	0	0	0	1	0	0	0	0
1.662804	0.0363502215568863	0.0348036946107785	0.0820548882235529	0.0756733253493013	0.157253914171657	0.0337050139720559	0.351562251497006	0.0419229740518962	0.00813568263473053	0.053039005988024	0.125499
1.276801	0.0356379061876247	0.031042127744511	0.0808716566866267	0.0799567884231536	0.183168181636727	0.028107375249501	0.236991235528942	0.0475110578842315	0.0131261956087824	0.0484002614770458	0.215187159680639
0	0	0	0	0	0	0	0	0	0	0	0
0.672057	0.0154133493013972	0.0085922255489022	0.0675946666666667	0.0795639101796407	0.362599097804392	0.00704353692614771	0.109399516966068	0.0298951497005988	0.00324545908183633	0.0261098303393214	0.290543229540918
0.374338	0.00892771856287425	0.00364141716566866	0.0535042654690619	0.0655582994011976	0.417583359281437	0.00302245708582834	0.0474058083832335	0.0224195149700599	0.000847449101796408	0.0158502195608782	0.361239499001996
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0.031917	0.00536726347305389	9.3750499001996e-05	0.0181148882235529	0.0285664710578842	0.111725918163673	6.30538922155689e-05	0.000482319361277445	0.00722120558882235	0.008064499001996	0.000678606786427145	0.819622033932135
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
1.391821	0.0526822315369261	0.0434024590818363	0.10158923752495	0.0932556167664671	0.149736716566866	0.0363961576846308	0.277821738522954	0.0550440099800399	0.0140982934131737	0.0702027904191617	0.105770780439122
0.733957	0.0105473552894212	0.00280391017964072	0.0555909281437126	0.0426873373253493	0.140542914171657	0.00191553892215569	0.597453756487026	0.028746500998004	0.00134735928143713	0.0138419680638723	0.104522339321357
0	0	0	0	0	0	0	0	0	0	0	0
0.525274	0.00508632335329341	0.000365171656686627	0.0405186387225549	0.0316793393213573	0.177407497005988	0.000175682634730539	0.606014864271457	0.0195702814371257	0.000162870259481038	0.00924988223552895	0.109769447105788
0.384733	0.00513518762475049	0.000550770459081837	0.0374972415169661	0.0211503053892216	0.0710316367265468	0.000399033932135728	0.772363562874252	0.0187283812375249	0.000334461077844311	0.00294865269461078	0.0698607984031936
0	0	0	0	0	0	0	0	0	0	0	0
0.266724	0.00560503792415169	0.000732580838323353	0.0389120499001996	0.0223568902195609	0.0727977764471057	0.000544700598802395	0.764436381237525	0.01967350499002	0.000476327345309381	0.00339664471057884	0.0710680738522954
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0.465468	0.0106908542914172	0.00176619760479042	0.0545783932135728	0.0497463313373253	0.282599253493014	0.000936934131736526	0.392504992015969	0.0296133433133733	0.00177861676646706	0.0167425888223553	0.159042578842315
0	0	0	0	0	0	0	0	0	0	0	0
0.381855	0.0100428443113772	0.000539864271457086	0.0533016866267465	0.0390089401197605	0.185767317365269	0.000289101796407186	0.469323179640718	0.0462422794411177	0.0101383213572854	0.00589801996007984	0.179448403193613
0.28363	0.0233418842315369	0.00227186027944112	0.0751971856287425	0.0559040419161677	0.209345051896208	0.00116985828343313	0.0803754371257485	0.065893377245509	0.232906191616766	0.01134349500998	0.242251590818363
0	0	0	0	0	0	0	0	0	0	0	0
0.184736	0.0254836766467066	0.00243874451097805	0.088597367265469	0.059090127744511	0.199006562874252	0.00144197804391218	0.204511690618762	0.0907287884231537	0.0648278203592814	0.00834455688622754	0.255528726546906
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0.311878	0.00258580439121756	7.95189620758483e-05	0.0244100399201597	0.0130641497005988	0.0544648023952096	6.04151696606786e-05	0.8228119500998	0.0149286746506986	5.8686626746507e-05	0.00119888822355289	0.0663371057884231
0.072955	0.00189983233532934	2.55209580838323e-05	0.0128691716566866	0.00617237325349301	0.0136589760479042	2.37425149700599e-05	0.933374960079839	0.00823066866267466	2.31477045908183e-05	0.000186047904191617	0.0235354630738523
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0.274691	0.00251198203592814	2.9812375249501e-05	0.0302599401197605	0.0174538522954092	0.0913007704590818	1.74950099800399e-05	0.71212116766467	0.0232689640718563	0.000226075848303393	0.000807053892215568	0.122002822355289
0.186561	0.00419142714570858	0.000296161676646707	0.0310074550898204	0.0166279700598802	0.0497042994011976	0.000227572854291417	0.822931459081837	0.0163359840319361	0.000207630738522954	0.00161103992015968	0.0568589820359281
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0.25816	0.00855464471057884	0.00023251497005988	0.0557088862275449	0.0365412694610778	0.180128532934132	0.000115347305389222	0.423200594810379	0.0556449321357286	0.0111410818363274	0.00242336526946108	0.226308854291417
0.212739	0.0205242295409182	0.00107932734530938	0.0754740299401198	0.0516707984031936	0.190731834331337	0.000503361277445109	0.0605904550898204	0.0704766986027944	0.244945469061876	0.00716023552894212	0.276843530938124
0	0	0	0	0	0	0	0	0	0	0	0
0.162744	0.0250884211576846	0.00205298602794411	0.0886456287425149	0.0578977704590819	0.194269548902196	0.00119885828343313	0.202761417165669	0.0950358622754491	0.0655914471057884	0.00722719960079841	0.260230886227545
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0.207087	0.00266714770459081	7.94111776447106e-05	0.021786750499002	0.0108498343313373	0.0309085768463074	6.36407185628743e-05	0.880539558882236	0.0113620419161676	5.80818363273453e-05	0.000579463073852296	0.0411054491017964
0	0	0	0	0	0	0	0	0	0	0	0
0.157921	0.0036833373253493	0.000192546906187625	0.0274056526946108	0.0143017944111777	0.0406611756487026	0.000151730538922156	0.847211976047905	0.0148570419161677	0.000140684630738523	0.00111445508982036	0.0502797085828343
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
1.171448	0.119766818363273	0.0631357884231537	0.137164135728543	0.143778908183633	0.100181540918164	0.0476629760479042	0.0879152954091817	0.104062910179641	0.0215911556886227	0.104008355289421	0.0707320978043912
1.06049	0.0293917165668663	0.0109885768463074	0.0798221377245509	0.0728911676646706	0.240317510978044	0.00786655489021956	0.184649948103793	0.0596721536926147	0.0965160938123752	0.0260732794411178	0.191810904191617
0	0	0	0	0	0	0	0	0	0	0	0
0.821467	0.0194480958083832	0.00579318163672655	0.0697032934131736	0.0668009281437126	0.290699768463074	0.00354539321357285	0.235277840319361	0.0460903592814371	0.0479982874251497	0.0226660219560879	0.191976822355289
0.540076	0.0340212954091816	0.0107207385229541	0.0833200678642715	0.0786691836327345	0.313996175648702	0.00701619161676647	0.0878486407185629	0.0608502774451098	0.0674864670658682	0.0249379620758483	0.231133027944112
0	0	0	0	0	0	0	0	0	0	0	0
0.160481	0.0237347924151697	0.000653279441117764	0.032292746506986	0.0214120359281437	0.0325661716566866	0.000487772455089821	0.00216413572854291	0.041339750499002	0.764815974051896	0.00456534131736527	0.0759679940119761
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0.689842	0.0292646546906187	0.00886420558882236	0.0804764411177645	0.0662187644710579	0.225610908183633	0.00606542914171656	0.242169612774451	0.0629034590818364	0.0696582075848304	0.0219512435129741	0.18681696007984
0	0	0	0	0	0	0	0	0	0	0	0
0.373455	0.0254649341317365	0.00186189620758483	0.069363239520958	0.0502721556886227	0.176894882235529	0.000993966067864271	0.0520659540918164	0.0660234251497006	0.326656429141717	0.0101600099800399	0.220243081836327
0.278472	0.0296016646706587	0.00228645109780439	0.0453805908183633	0.0329631676646706	0.0631225788423153	0.00161754890219561	0.00682907385229541	0.0584961596806387	0.641289778443114	0.00914154890219561	0.109271512974052
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0.178256	0.0253719441117765	0.00232331536926148	0.0886152475049901	0.0587587984031936	0.197682105788423	0.00136852095808383	0.203978337325349	0.0919245429141717	0.0650218123752495	0.00801702794411178	0.256938357285429
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
1.039171	0.14784572255489	0.14530744510978	0.0955095109780438	0.10032820758483	0.0151253153692615	0.133220820359281	0.0238557025948104	0.0726553213572854	0.00233642115768463	0.24869671257485	0.0151188083832335
