age	F	A	J	K	E	B	H	C	D	I	G
1.930733	0	0	0	0	0	0	1	0	0	0	0
1.662804	0.0157064431137725	0.00864662075848303	0.0597892754491018	0.0537096007984032	0.240319173652695	0.00539424750499002	0.368286920159681	0.0216648822355289	0.00279393013972056	0.033037750499002	0.190651205588822
1.276801	0.0212464351297405	0.0145147644710579	0.0640406367265469	0.0624773473053893	0.245575746506986	0.011604754491018	0.322639716566866	0.0282929181636726	0.00890806986027943	0.0294889101796407	0.191210648702595
0	0	0	0	0	0	0	0	0	0	0	0
0.672057	0.0114656646706587	0.00475605788423154	0.0514861976047904	0.0633664131736527	0.335812291417166	0.00304845708582834	0.297164774451098	0.0182178522954092	0.00394091616766467	0.0150257005988024	0.195715652694611
0.374338	0.00984560479041916	0.00312897405189621	0.04136	0.0636664890219561	0.402329313373253	0.00199166866267465	0.225704686626746	0.015054379241517	0.00111997604790419	0.0097592874251497	0.226039644710579
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0.031917	0.00286513373253493	6.69900199600799e-05	0.032345878243513	0.0402176067864272	0.127176632734531	6.33972055888224e-05	0.00330876447105789	0.00570737325349301	0.0189003812375249	0.000907011976047903	0.768440796407186
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
1.391821	0.0318758942115768	0.018742994011976	0.082593127744511	0.0799703213572855	0.216692459081836	0.012052746506986	0.28741951497006	0.0391457724550899	0.00668711976047904	0.0555999081836328	0.169220169660679
0.733957	0.00597437924151697	0.00174494211576846	0.0479855748502994	0.0385502175648703	0.197638323353293	0.00100772055888224	0.485264962075848	0.0135122634730539	0.000991171656686627	0.0122880299401198	0.195042431137724
0	0	0	0	0	0	0	0	0	0	0	0
0.525274	0.00167714171656686	0.000130692614770459	0.0309452894211577	0.0248370858283433	0.175965818363274	5.19001996007984e-05	0.567795920159681	0.00674085429141717	6.14471057884232e-05	0.00526289820359282	0.186530996007984
0.384733	0.00305001796407186	0.000532411177644711	0.0410904171656687	0.0293682554890219	0.131374159680639	0.0002482375249501	0.597928383233533	0.0102008522954092	0.000266792415169661	0.00886727744510979	0.177073141716567
0	0	0	0	0	0	0	0	0	0	0	0
0.266724	0.00346148103792415	0.000653151696606786	0.0411790179640719	0.0299492195608782	0.114008483033932	0.000329712574850299	0.617441289421158	0.0111318283433134	0.000367728542914172	0.00881951297405189	0.172658540918164
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0.465468	0.00426710978043913	0.000602487025948104	0.0372665449101796	0.0394801736526946	0.272431592814371	0.000342818363273453	0.400994520958084	0.00991336127744511	0.000645293413173653	0.00599550499001996	0.228060560878244
0	0	0	0	0	0	0	0	0	0	0	0
0.381855	0.00336397405189621	0.00020249500998004	0.0432420518962076	0.0320377864271457	0.133257483033932	0.000100520958083832	0.50819514770459	0.00970384830339321	0.00436478243512974	0.00443435928143712	0.261097522954092
0.28363	0.0148405389221557	0.00165340918163673	0.0725075049900199	0.0676041197604791	0.160494810379241	0.00100292215568862	0.139517133732535	0.0228040738522954	0.214923409181637	0.00811606586826348	0.29653597005988
0	0	0	0	0	0	0	0	0	0	0	0
0.184736	0.0150342195608782	0.00172530538922156	0.0899737085828344	0.0638926806387226	0.133264840319361	0.00102773652694611	0.253327676646707	0.0252335648702595	0.0522544291417166	0.00842470259481037	0.355841153692615
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0.311878	0.00109074451097804	6.96826347305389e-05	0.0236275748502994	0.0155228063872256	0.0550126087824352	3.69640718562874e-05	0.730791926147705	0.00543076846307386	4.33832335329342e-05	0.00338510778443114	0.164988455089821
0.072955	0.000531570858283433	2.47884231536926e-05	0.0155235249500998	0.0091728263473054	0.0144430758483034	1.42554890219561e-05	0.898443938123754	0.00455909780439121	1.96127744510978e-05	0.00168149700598802	0.0555858403193613
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0.274691	0.000736878243512972	1.63512974051896e-05	0.0254798622754491	0.0129123433133732	0.0498783892215569	7.44311377245509e-06	0.676945702594811	0.00393942514970059	6.46746506986028e-05	0.00246638922155688	0.227552624750499
0.186561	0.00216079840319361	0.000276934131736527	0.0345087445109781	0.0233426087824352	0.0720086906187624	0.000135926147704591	0.707850255489022	0.00939501596806387	0.000163487025948104	0.00608519361277445	0.144072389221557
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0.25816	0.00244414371257485	7.88383233532933e-05	0.0502196487025948	0.0276421956087824	0.0888489820359282	3.89520958083832e-05	0.482359047904192	0.00838685029940119	0.00429228143712575	0.00329390818363273	0.332395205588822
0.212739	0.013156750499002	0.000785023952095809	0.0804309540918165	0.0626483373253493	0.120622668662675	0.000491858283433134	0.116652015968064	0.0213553413173653	0.22757820758483	0.0056024750499002	0.350676313373253
0	0	0	0	0	0	0	0	0	0	0	0
0.162744	0.0145335109780439	0.00144223353293413	0.0925929800399201	0.062684746506986	0.121517954091816	0.000864157684630738	0.25532076247505	0.0251489241516966	0.0526745069860279	0.00765505788423153	0.365565215568862
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0.207087	0.00105888822355289	8.45089820359282e-05	0.026663	0.016811377245509	0.0517063612774451	3.93952095808384e-05	0.775262714570857	0.00654231337325349	4.87105788423154e-05	0.004159624750499	0.117623125748503
