Rate	71.43
Rev Jump	14.29
Prior Change	14.29
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Prior Change Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
652	0.096626	130	0.053846	218	0.972477	1.133215	652	0.096626	0.282000	0.301154	
703	0.344239	131	0.038168	166	0.969880	0.627354	703	0.344239	0.408000	0.310057	
720	0.334722	128	0.039062	152	0.973684	0.627354	720	0.334722	0.394000	0.316514	
745	0.288591	121	0.033058	134	0.985075	0.627354	745	0.288591	0.351000	0.318977	
699	0.373391	111	0.036036	190	0.978947	0.627354	699	0.373391	0.451000	0.327778	
645	0.263566	118	0.033898	237	0.991561	0.627354	645	0.263566	0.409000	0.332854	
617	0.236629	82	0.012195	301	0.983389	0.627354	617	0.236629	0.443000	0.339333	
631	0.225040	92	0.000000	277	0.981949	0.627354	631	0.225040	0.414000	0.343481	
596	0.196309	120	0.016667	284	0.971831	0.627354	596	0.196309	0.395000	0.346192	
593	0.318718	125	0.032000	282	0.953901	0.453550	593	0.318718	0.462000	0.351982	
599	0.330551	121	0.000000	280	0.939286	0.453550	599	0.330551	0.461000	0.357173	
599	0.282137	126	0.015873	275	0.916364	0.453550	599	0.282137	0.423000	0.360165	
561	0.304813	132	0.000000	307	0.944625	0.453550	561	0.304813	0.461000	0.364549	
609	0.239737	121	0.000000	270	0.951852	0.453550	609	0.239737	0.403000	0.366151	
603	0.247098	121	0.016529	276	0.880435	0.453550	603	0.247098	0.394000	0.367265	
583	0.322470	133	0.000000	284	0.908451	0.453550	583	0.322470	0.446000	0.370293	
616	0.352273	130	0.007692	254	0.980315	0.453550	616	0.352273	0.467000	0.373875	
565	0.366372	114	0.017544	321	0.878505	0.453550	565	0.366372	0.491000	0.378058	
592	0.336149	138	0.007246	270	0.970370	0.453550	592	0.336149	0.462000	0.380952	
589	0.325976	110	0.009091	301	0.923588	0.453550	589	0.325976	0.471000	0.383954	
586	0.257679	129	0.007752	285	0.919298	0.453550	586	0.257679	0.414000	0.384923	
573	0.354276	118	0.008475	309	0.932039	0.453550	573	0.354276	0.492000	0.388269	
602	0.486711	110	0.045455	288	0.909722	0.453550	602	0.486711	0.560000	0.393473	
651	0.344086	99	0.050505	250	0.888000	0.545861	651	0.344086	0.451000	0.395165	
761	0.387648	105	0.038095	134	0.858209	0.545861	761	0.387648	0.414000	0.395703	
741	0.392713	104	0.028846	155	0.851613	0.545861	741	0.392713	0.426000	0.396545	
704	0.376420	108	0.055556	188	0.914894	0.545861	704	0.376420	0.443000	0.397800	
601	0.372712	132	0.000000	267	0.955056	0.545861	601	0.372712	0.479000	0.399937	
579	0.333333	122	0.008197	299	0.859532	0.545861	579	0.333333	0.451000	0.401246	
591	0.402707	122	0.016393	287	0.874564	0.545861	591	0.402707	0.491000	0.403490	
596	0.238255	100	0.030000	304	0.855263	0.706378	596	0.238255	0.405000	0.403527	
608	0.256579	118	0.008475	274	0.905109	0.706378	608	0.256579	0.405000	0.403562	
639	0.245696	121	0.008264	240	0.966667	0.706378	639	0.245696	0.390000	0.403246	
614	0.231270	126	0.015873	260	0.884615	0.706378	614	0.231270	0.374000	0.402582	
633	0.224329	112	0.017857	255	0.964706	0.706378	633	0.224329	0.390000	0.402302	
667	0.253373	83	0.000000	250	0.968000	0.706378	667	0.253373	0.411000	0.402491	
649	0.257319	124	0.008065	227	0.977974	0.706378	649	0.257319	0.390000	0.402225	
674	0.231454	112	0.026786	214	0.971963	0.706378	674	0.231454	0.367000	0.401492	
606	0.265677	121	0.008264	273	0.930403	0.706378	606	0.265677	0.416000	0.401788	
620	0.285484	117	0.017094	263	0.927757	0.706378	620	0.285484	0.423000	0.402212	
675	0.217778	94	0.000000	231	0.961039	0.706378	675	0.217778	0.369000	0.401561	
682	0.282991	106	0.037736	212	0.919811	0.706378	682	0.282991	0.392000	0.401377	
619	0.258481	117	0.008547	264	0.867424	0.706378	619	0.258481	0.390000	0.401162	
690	0.281159	120	0.033333	190	0.931579	0.706378	690	0.281159	0.375000	0.400678	
684	0.289474	112	0.035714	204	0.789216	0.706378	684	0.289474	0.363000	0.399993	
722	0.263158	124	0.056452	154	0.850649	0.706378	722	0.263158	0.328000	0.398707	
747	0.318608	92	0.010870	161	0.925466	0.706378	747	0.318608	0.388000	0.398519	
733	0.275580	109	0.064220	158	0.968354	0.706378	733	0.275580	0.362000	0.397890	
715	0.302098	101	0.049505	184	0.934783	0.706378	715	0.302098	0.393000	0.397807	
525	0.220952	118	0.000000	357	0.946779	0.706378	525	0.220952	0.454000	0.398743	
511	0.178082	109	0.000000	380	0.934211	0.706378	511	0.178082	0.446000	0.399518	
563	0.470693	113	0.026549	324	0.932099	0.434615	563	0.470693	0.570000	0.402268	
604	0.289735	99	0.000000	297	0.939394	0.693943	604	0.289735	0.454000	0.403089	
618	0.258900	111	0.036036	271	0.966790	0.693943	618	0.258900	0.426000	0.403447	
702	0.282051	108	0.055556	190	0.994737	0.693943	702	0.282051	0.393000	0.403286	
681	0.258443	129	0.000000	190	0.963158	0.693943	681	0.258443	0.359000	0.402615	
683	0.244510	112	0.026786	205	0.946341	0.693943	683	0.244510	0.364000	0.402039	
655	0.312977	136	0.029412	209	0.956938	0.693943	655	0.312977	0.409000	0.402141	
632	0.262658	117	0.017094	251	0.916335	0.693943	632	0.262658	0.398000	0.402081	
583	0.313894	88	0.056818	329	0.920973	0.693943	583	0.313894	0.491000	0.403351	
668	0.250000	119	0.033613	213	0.929577	0.693943	668	0.250000	0.369000	0.402868	
652	0.317485	120	0.016667	228	0.916667	0.693943	652	0.317485	0.418000	0.403078	
493	0.251521	106	0.028302	401	0.965087	0.693943	493	0.251521	0.514000	0.404597	
563	0.261101	89	0.022472	348	0.922414	0.693943	563	0.261101	0.470000	0.405481	
768	0.273438	90	0.000000	142	0.922535	0.693943	768	0.273438	0.341000	0.404621	
646	0.315789	102	0.039216	252	0.968254	0.693943	646	0.315789	0.452000	0.405245	
585	0.268376	93	0.010753	322	0.928571	0.693943	585	0.268376	0.457000	0.405917	
