Constraint-ABGM	Lh-run1	LBF-run1	Lh-run2	LBF-run2	Lh-run3	LBF-run3
root=0011	-650.572766	2.28*	-649.615048	2.96*	-648.743354	0.50
root=0001	-650.335073	1.81	-651.353793	6.43**	-649.687857	2.29*
root=0010	-655.265714	11.67***	-655.278212	14.28***	-655.092836	13.20***
root=0000	-650.195134	1.53	-650.259335	4.25*	-650.026722	3.06*
rate(0001=>0011)=0	-661.023067	23.18***	-662.18571	28.10***	-663.22144	29.45***
rate(0000=>0010)=0	-649.477486	0.09	-650.024173	3.78*	-649.352901	1.72
rate(0100=>0110)=0	-652.634012	6.51**	-653.47824	10.68***	-653.760507	10.53***
rate(1000=>1010)=0	-648.428664	2.01*	-648.497981	0.72	-648.260641	0.47
rate(1100=>1110)=0	-654.284808	9.71**	-656.203526	16.13***	-654.240383	11.49***
unconstrained	-649.431485		-648.136392		-648.494768	
