	-	A	AB	ABG	B	BG	G	GM	M
-	-	0.0033336047979798	X	X	0.000457897727272727	X	0.00144262752525253	X	0.000548424242424242
A	0.0157990795454546	-	0.00382223232323232	X	X	X	X	X	X
AB	X	0.00498998232323232	-	0.00498998232323232	0.0216446767676768	X	X	X	X
ABG	X	X	0.0250632424242424	-	X	0.0162205871212121	X	X	X
B	0.000461449494949494	X	0.00599560984848485	X	-	0.000712208333333333	X	X	X
BG	X	X	X	0.024044922979798	0.00620289772727272	-	0.0856692664141414	X	X
G	0.000548015151515151	X	X	X	X	0.00335340782828283	-	0.000130292929292929	X
GM	X	X	X	X	X	X	0.00501073863636363	-	0.0249446212121212
M	0.00500516161616161	X	X	X	X	X	X	0.0249939785353535	-
