	-	A	AB	ABG	B	BG	G	GM	M
-	-	0.00097520202020202	X	X	0.000633864898989899	X	0.00134880934343434	X	0.00188376767676768
A	0.000823905303030303	-	0.00230202904040404	X	X	X	X	X	X
AB	X	0.00186278914141414	-	0.00180620833333333	0.0270437601010101	X	X	X	X
ABG	X	X	0.027168428030303	-	X	0.0167885505050505	X	X	X
B	0.000956478535353536	X	0.0123862702020202	X	-	0.00104015025252525	X	X	X
BG	X	X	X	0.0270591414141414	0.0270437601010101	-	0.0247315972222222	X	X
G	0.000956852272727273	X	X	X	X	0.00135748484848485	-	5.03914141414141e-06	X
GM	X	X	X	X	X	X	0.00188581439393939	-	0.0123862702020202
M	0.0214015378787879	X	X	X	X	X	X	0.0257870138888889	-
