Rate	71.43
Rev Jump	14.29
Prior Change	14.29
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Prior Change Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
43	0.558140	4	0.500000	953	0.045121	0.405699	43	0.558140	0.069000	0.120353	
62	0.225806	6	0.166667	932	0.033262	0.609270	62	0.225806	0.046000	0.114157	
58	0.431034	5	0.000000	937	0.061900	0.609270	58	0.431034	0.083000	0.111761	
49	0.061224	33	0.000000	918	0.055556	1.075690	49	0.061224	0.054000	0.107635	
96	0.302083	19	0.052632	885	0.072316	0.619292	96	0.302083	0.094000	0.106726	
103	0.233010	11	0.000000	886	0.040632	0.619292	103	0.233010	0.060000	0.103806	
120	0.250000	29	0.000000	851	0.105758	0.619292	120	0.250000	0.120000	0.104759	
100	0.260000	11	0.000000	889	0.077615	0.619292	100	0.260000	0.095000	0.104216	
117	0.222222	11	0.000000	872	0.082569	0.619292	117	0.222222	0.098000	0.103889	
114	0.315789	11	0.000000	875	0.086857	0.619292	114	0.315789	0.112000	0.104295	
120	0.200000	11	0.000000	869	0.064442	0.619292	120	0.200000	0.080000	0.103138	
91	0.285714	9	0.111111	900	0.040000	0.619292	91	0.285714	0.063000	0.101314	
101	0.356436	16	0.062500	883	0.046433	0.619292	101	0.356436	0.078000	0.100300	
127	0.393701	14	0.142857	859	0.046566	0.619292	127	0.393701	0.092000	0.099954	
162	0.240741	19	0.052632	819	0.128205	0.619292	162	0.240741	0.145000	0.101756	
176	0.357955	25	0.040000	799	0.097622	0.619292	176	0.357955	0.142000	0.103304	
144	0.333333	27	0.037037	829	0.131484	0.619292	144	0.333333	0.158000	0.105329	
165	0.357576	22	0.000000	813	0.110701	0.619292	165	0.357576	0.149000	0.106889	
167	0.323353	31	0.000000	802	0.089776	0.619292	167	0.323353	0.126000	0.107548	
137	0.423358	17	0.000000	846	0.095745	0.619292	137	0.423358	0.139000	0.108596	
157	0.350318	34	0.000000	809	0.117429	0.625853	157	0.350318	0.150000	0.109932	
188	0.308511	16	0.000000	796	0.123116	0.625853	188	0.308511	0.156000	0.111372	
189	0.291005	36	0.000000	775	0.172903	0.625853	189	0.291005	0.189000	0.113724	
139	0.309353	30	0.000000	831	0.104693	0.625853	139	0.309353	0.130000	0.114203	
188	0.324468	19	0.000000	793	0.112232	0.625853	188	0.324468	0.150000	0.115225	
168	0.351190	36	0.055556	796	0.136935	0.625853	168	0.351190	0.170000	0.116747	
148	0.256757	37	0.000000	815	0.114110	0.625853	148	0.256757	0.131000	0.117132	
90	0.255556	29	0.034483	881	0.143019	0.625853	90	0.255556	0.150000	0.117997	
64	0.296875	14	0.000000	922	0.120390	0.625853	64	0.296875	0.130000	0.118305	
