	-	A	AB	ABG	B	BG	G	GM	M
-	-	0.000845367424242425	X	X	0.000326444444444444	X	0.00529024747474747	X	0.000841801767676768
A	0.000804419191919192	-	0.00529024747474747	X	X	X	X	X	X
AB	X	0.000845367424242425	-	0.00529024747474747	0.0206627184343434	X	X	X	X
ABG	X	X	0.081946875	-	X	0.0205701452020202	X	X	X
B	0.000766431818181818	X	0.00529024747474747	X	-	0.00529024747474747	X	X	X
BG	X	X	X	0.0823237411616162	0.0701375669191918	-	0.00529024747474747	X	X
G	0.000841801767676768	X	X	X	X	0.000845367424242425	-	X	X
GM	X	X	X	X	X	X	0.00529024747474747	-	0.00694227904040403
M	0.00529024747474747	X	X	X	X	X	X	0.00694227904040403	-
