Rate	71.43
Rev Jump	14.29
Prior Change	14.29
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Prior Change Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
714	0.362745	130	0.023077	156	0.967949	0.598309	714	0.362745	0.413000	0.336878	
660	0.346970	120	0.016667	220	0.954545	0.598309	660	0.346970	0.441000	0.345555	
665	0.398496	129	0.031008	206	0.941748	0.598309	665	0.398496	0.463000	0.354588	
727	0.370014	110	0.027273	163	0.987730	0.598309	727	0.370014	0.433000	0.360189	
759	0.330698	110	0.018182	131	0.946565	0.598309	759	0.330698	0.377000	0.361309	
723	0.356846	126	0.015873	151	0.894040	0.598309	723	0.356846	0.395000	0.363415	
716	0.353352	134	0.052239	150	0.906667	0.598309	716	0.353352	0.396000	0.365331	
728	0.324176	119	0.025210	153	0.823529	0.598309	728	0.324176	0.365000	0.365313	
742	0.323450	127	0.023622	131	0.854962	0.598309	742	0.323450	0.355000	0.364770	
711	0.355837	108	0.055556	181	0.906077	0.598309	711	0.355837	0.423000	0.367682	
734	0.350136	118	0.008475	148	0.858108	0.598309	734	0.350136	0.385000	0.368506	
723	0.347165	113	0.026549	164	0.914634	0.598309	723	0.347165	0.404000	0.370120	
666	0.364865	154	0.025974	180	0.900000	0.598309	666	0.364865	0.409000	0.371810	
736	0.377717	116	0.051724	148	0.925676	0.598309	736	0.377717	0.421000	0.373859	
693	0.378066	115	0.052174	192	0.916667	0.598309	693	0.378066	0.444000	0.376665	
741	0.352227	112	0.017857	147	0.897959	0.598309	741	0.352227	0.395000	0.377370	
742	0.367925	116	0.051724	142	0.901408	0.598309	742	0.367925	0.407000	0.378467	
743	0.360700	116	0.043103	141	0.879433	0.598309	743	0.360700	0.397000	0.379129	
744	0.411290	111	0.063063	145	0.944828	0.598309	744	0.411290	0.450000	0.381573	
707	0.134371	130	0.046154	163	0.877301	1.107762	707	0.134371	0.244000	0.376987	
697	0.327116	128	0.031250	175	0.874286	0.570688	697	0.327116	0.385000	0.377246	
732	0.379781	108	0.055556	160	0.912500	0.570688	732	0.379781	0.430000	0.378894	
