Rate	71.43
Rev Jump	14.29
Prior Change	14.29
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Prior Change Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
541	0.247689	91	0.032967	368	0.980978	0.643063	541	0.247689	0.498000	0.375602	
721	0.345354	76	0.052632	203	0.980296	0.643063	721	0.345354	0.452000	0.381968	
726	0.344353	115	0.078261	159	0.981132	0.643063	726	0.344353	0.415000	0.384509	
714	0.278711	111	0.045045	175	0.971429	0.643063	714	0.278711	0.374000	0.383758	
719	0.294854	121	0.057851	160	0.962500	0.643063	719	0.294854	0.373000	0.383041	
704	0.303977	101	0.009901	195	0.984615	0.643063	704	0.303977	0.407000	0.384538	
675	0.284444	117	0.034188	208	0.975962	0.643063	675	0.284444	0.399000	0.385389	
687	0.279476	109	0.036697	204	0.975490	0.643063	687	0.279476	0.395000	0.385923	
673	0.326895	128	0.054688	199	0.964824	0.643063	673	0.326895	0.419000	0.387664	
678	0.311209	121	0.066116	201	0.905473	0.643063	678	0.311209	0.401000	0.388331	
698	0.292264	93	0.032258	209	0.966507	0.643063	698	0.292264	0.409000	0.389315	
716	0.331006	104	0.076923	180	0.955556	0.643063	716	0.331006	0.417000	0.390573	
674	0.356083	103	0.038835	223	0.982063	0.643063	674	0.356083	0.463000	0.393722	
706	0.325779	97	0.010309	197	0.959391	0.643063	706	0.325779	0.420000	0.394817	
723	0.333333	101	0.069307	176	0.954545	0.643063	723	0.333333	0.416000	0.395664	
679	0.343152	108	0.055556	213	0.976526	0.643063	679	0.343152	0.447000	0.397639	
770	0.320779	80	0.025000	150	1.000000	0.643063	770	0.320779	0.399000	0.397689	
740	0.245946	93	0.053763	167	0.982036	0.643063	740	0.245946	0.351000	0.396022	
687	0.330422	113	0.044248	200	0.955000	0.643063	687	0.330422	0.423000	0.396952	
757	0.335535	78	0.076923	165	0.963636	0.643063	757	0.335535	0.419000	0.397687	
755	0.386755	88	0.034091	157	0.961783	0.643063	755	0.386755	0.446000	0.399245	
733	0.351978	101	0.039604	166	0.927711	0.643063	733	0.351978	0.416000	0.399769	
723	0.311203	106	0.075472	171	0.953216	0.643063	723	0.311203	0.396000	0.399655	
706	0.267705	120	0.066667	174	0.850575	0.643063	706	0.267705	0.345000	0.398047	
695	0.300719	120	0.025000	185	0.908108	0.643063	695	0.300719	0.380000	0.397531	
627	0.251994	106	0.037736	267	0.898876	0.643063	627	0.251994	0.402000	0.397656	
711	0.299578	86	0.023256	203	0.940887	0.643063	711	0.299578	0.406000	0.397881	
727	0.290234	107	0.037383	166	0.945783	0.643063	727	0.290234	0.372000	0.397200	
744	0.288978	93	0.021505	163	0.852761	0.643063	744	0.288978	0.356000	0.396144	
702	0.289174	110	0.009091	188	0.877660	0.643063	702	0.289174	0.369000	0.395465	
723	0.300138	121	0.057851	156	0.871795	0.643063	723	0.300138	0.360000	0.394600	
752	0.313830	106	0.028302	142	0.859155	0.643063	752	0.313830	0.361000	0.393800	
744	0.268817	107	0.074766	149	0.852349	0.643063	744	0.268817	0.335000	0.392433	
712	0.282303	122	0.073770	166	0.951807	0.643063	712	0.282303	0.368000	0.391877	
727	0.257221	124	0.024194	149	0.906040	0.643063	727	0.257221	0.325000	0.390391	
680	0.266176	106	0.037736	214	0.939252	0.643063	680	0.266176	0.386000	0.390296	
743	0.248991	123	0.032520	134	0.910448	0.643063	743	0.248991	0.311000	0.388609	
729	0.325103	92	0.065217	179	0.826816	0.643063	729	0.325103	0.391000	0.388659	
717	0.255230	87	0.103448	196	0.882653	0.643063	717	0.255230	0.365000	0.388176	
686	0.236152	128	0.062500	186	0.930108	0.643063	686	0.236152	0.343000	0.387272	
706	0.257790	106	0.028302	188	0.914894	0.643063	706	0.257790	0.357000	0.386679	
708	0.292373	119	0.033613	173	0.832370	0.643063	708	0.292373	0.355000	0.386069	
728	0.322802	120	0.066667	152	0.940789	0.643063	728	0.322802	0.386000	0.386068	
716	0.300279	112	0.017857	172	0.953488	0.643063	716	0.300279	0.381000	0.385974	
730	0.293151	121	0.033058	149	0.906040	0.643063	730	0.293151	0.353000	0.385375	
749	0.272363	121	0.049587	130	0.915385	0.643063	749	0.272363	0.329000	0.384368	
649	0.294299	100	0.070000	251	0.908367	0.643063	649	0.294299	0.426000	0.385099	
728	0.307692	112	0.062500	160	0.931250	0.643063	728	0.307692	0.380000	0.385011	
747	0.326640	114	0.070175	139	0.913669	0.643063	747	0.326640	0.379000	0.384909	
727	0.335626	99	0.141414	174	0.839080	0.643063	727	0.335626	0.404000	0.385227	
736	0.258152	93	0.129032	171	0.836257	0.643063	736	0.258152	0.345000	0.384567	
766	0.268930	76	0.105263	158	0.854430	0.643063	766	0.268930	0.349000	0.383994	
774	0.342377	53	0.075472	173	0.878613	0.643063	774	0.342377	0.421000	0.384581	
802	0.336658	59	0.118644	139	0.877698	0.643063	802	0.336658	0.399000	0.384806	
746	0.309651	90	0.066667	164	0.871951	0.643063	746	0.309651	0.380000	0.384733	
730	0.309589	115	0.026087	155	0.922581	0.643063	730	0.309589	0.372000	0.384540	
716	0.332402	108	0.138889	176	0.903409	0.643063	716	0.332402	0.412000	0.384949	
743	0.333782	112	0.053571	145	0.875862	0.643063	743	0.333782	0.381000	0.384891	
637	0.252747	105	0.038095	258	0.914729	0.643063	637	0.252747	0.401000	0.385125	
700	0.277143	118	0.050847	182	0.906593	0.643063	700	0.277143	0.365000	0.384837	
681	0.314244	120	0.091667	199	0.854271	0.643063	681	0.314244	0.395000	0.384980	
702	0.320513	61	0.098361	237	0.856540	0.643063	702	0.320513	0.434000	0.385661	
