raw_age	F	A	J	K	E	B	H	C	D	I	G
1.930733	0	0	0	0	0	0	1	0	0	0	0
1.74086	0.014616124	0.003891349	0.062533291	0.056193625	0.206404126	0.002261768	0.365286046	0.03157777	0.014115626	0.017036937	0.226083342
1.662804	0.026371534	0.019196285	0.073591214	0.064960452	0.166747758	0.016248743	0.347170397	0.037654763	0.004934417	0.042325701	0.200798738
1.617092	0.020792073	0.004357011	0.067192666	0.062603587	0.242956142	0.002476305	0.266722037	0.03704291	0.056975001	0.015687015	0.223195228
1.531471	0.023271179	0.003230131	0.070098199	0.064361256	0.249448062	0.001757893	0.157619745	0.04393724	0.177890572	0.012649222	0.195736532
1.434844	0.022968267	0.003066384	0.058509168	0.05515648	0.172424054	0.001720595	0.063624943	0.049303126	0.428622467	0.010724308	0.133880228
1.391821	0.043230548	0.028659095	0.092345077	0.086451709	0.154837098	0.020958921	0.276454597	0.052410023	0.009175206	0.063809134	0.171668615
1.276801	0.031096701	0.022984691	0.077440586	0.072649051	0.182347275	0.019519172	0.274815963	0.044655366	0.012181991	0.039984299	0.222324864
1.226899	0.019856537	0.002566271	0.064653594	0.06077271	0.229741225	0.001363136	0.116686249	0.045465937	0.26638884	0.01150214	0.181003367
1.2079	0.024539467	0.009989112	0.075371049	0.070382114	0.216204841	0.00693151	0.262342019	0.041605303	0.040062546	0.02529655	0.227275507
1.171448	0.106764398	0.047836758	0.1471341	0.153926622	0.097295389	0.032069261	0.106195265	0.099121025	0.016705644	0.099314231	0.093637305
1.161095	0.031281986	0.007230033	0.059613711	0.05629986	0.126730184	0.004547069	0.03184788	0.056160474	0.508808246	0.01446376	0.103016769
1.123828	0.025055225	0.004795325	0.07241162	0.066487506	0.244073831	0.002929651	0.203006018	0.044646786	0.11266176	0.015839947	0.208092329
1.06049	0.024119485	0.007819351	0.076298749	0.071551726	0.232143171	0.005116961	0.219672381	0.044844869	0.083922889	0.021074637	0.213435842
1.048785	0.024592218	0.004712047	0.064226353	0.061680804	0.204056327	0.002962444	0.100786925	0.048818405	0.316402914	0.01446976	0.157291802
1.039171	0.144216621	0.135817343	0.101557615	0.107026048	0.014754269	0.115184623	0.018675752	0.093095343	0.001871461	0.251367019	0.01643393
