raw_age	A+B+G	A+B	G+M	B	-	B+G	G	A	M
0-50	0.052907602	0.251286984	0.031147677	0.200676212	0.022342203	0.028310691	0.360942657	0.005270811	0.020358
50-100	0.049415522	0.085150828	0.059795608	0.097359048	0.061805617	0.055243189	0.436488611	0.018757633	0.056009253
100-150	0.057617043	0.03698674	0.074783792	0.039824151	0.063514458	0.064756619	0.462756421	0.020892391	0.069437392
150-200	0.032471687	0.024332666	0.104337665	0.026486393	0.074908529	0.045879654	0.48056665	0.03199117	0.090525362
200-250	0.04615896	0.025192018	0.110684743	0.022550299	0.127681095	0.055588417	0.339408185	0.042814439	0.109228632
250-300	0.053206742	0.036760095	0.13832576	0.031647167	0.133556169	0.063656297	0.208130523	0.053316091	0.126564761
300-350	0.03860285	0.013372808	0.19103144	0.008826265	0.156624969	0.055307399	0.171424988	0.031248544	0.171076853
350-400	0.037163625	0.025821893	0.168592187	0.020239047	0.27563528	0.048532695	0.010678599	0.051896717	0.19699674
400-450	0.023119723	0.003148258	0.210936058	0.001739244	0.110622344	0.046620183	0.30325652	0.011686765	0.16480838
450-500	0.020593244	0.009148215	0.205369342	0.006995605	0.326392827	0.035425148	0.025341681	0.025016551	0.216692436
500-550	0	0	0	0	1	0	0	0	0
