	-	A	AB	ABG	B	BG	G	GM	M
-	-	0.110984138383838	X	X	0.0485373727272727	X	0.16572793939394	X	1.46039391111111
A	0.765113633333334	-	1.09669213131313	X	X	X	X	X	X
AB	X	1.46685744141414	-	1.54245420707071	5.21159102727272	X	X	X	X
ABG	X	X	17.7985169252525	-	X	8.68057418484848	X	X	X
B	0.15923266060606	X	1.45214574747475	X	-	0.432689728282829	X	X	X
BG	X	X	X	17.167019850505	6.46660554343434	-	1.48951116161616	X	X
G	0.220784763636363	X	X	X	X	0.229683722222222	-	0.0026558696969697	X
GM	X	X	X	X	X	X	5.28818839797979	-	15.4808130444444
M	3.4932555010101	X	X	X	X	X	X	16.3262125888889	-
