Rate	71.43
Rev Jump	14.29
Prior Change	14.29
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Prior Change Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
681	0.296623	91	0.032967	228	0.912281	0.556185	681	0.296623	0.413000	0.357422	
508	0.246063	129	0.031008	363	0.917355	0.556185	508	0.246063	0.462000	0.366136	
618	0.268608	135	0.007407	247	0.882591	0.556185	618	0.268608	0.385000	0.367587	
682	0.224340	112	0.017857	206	0.902913	0.556185	682	0.224340	0.341000	0.365688	
618	0.354369	107	0.037383	275	0.963636	0.556185	618	0.354369	0.488000	0.373842	
655	0.366412	94	0.074468	251	0.984064	0.556185	655	0.366412	0.494000	0.381351	
721	0.337032	90	0.088889	189	0.962963	0.556185	721	0.337032	0.433000	0.384389	
731	0.332421	105	0.047619	164	0.975610	0.556185	731	0.332421	0.408000	0.385701	
743	0.297443	111	0.009009	146	0.952055	0.556185	743	0.297443	0.361000	0.384401	
737	0.312076	118	0.016949	145	0.972414	0.556185	737	0.312076	0.373000	0.383831	
721	0.331484	115	0.026087	164	0.969512	0.556185	721	0.331484	0.401000	0.384648	
727	0.342503	118	0.025424	155	0.961290	0.556185	727	0.342503	0.401000	0.385392	
766	0.325065	82	0.097561	152	0.960526	0.556185	766	0.325065	0.403000	0.386157	
743	0.384926	91	0.043956	166	0.987952	0.556185	743	0.384926	0.454000	0.388984	
746	0.365952	101	0.079208	153	0.980392	0.556185	746	0.365952	0.431000	0.390664	
748	0.348930	92	0.043478	160	0.950000	0.556185	748	0.348930	0.417000	0.391677	
726	0.315427	102	0.029412	172	0.994186	0.556185	726	0.315427	0.403000	0.392097	
747	0.357430	91	0.043956	162	0.981481	0.556185	747	0.357430	0.430000	0.393450	
759	0.397892	81	0.049383	160	0.968750	0.556185	759	0.397892	0.461000	0.395779	
742	0.386792	109	0.073394	149	0.959732	0.556185	742	0.386792	0.438000	0.397187	
718	0.327298	126	0.047619	156	0.865385	0.556185	718	0.327298	0.376000	0.396503	
754	0.316976	107	0.037383	139	0.877698	0.556185	754	0.316976	0.365000	0.395519	
692	0.299133	102	0.009804	206	0.883495	0.556185	692	0.299133	0.390000	0.395352	
665	0.318797	118	0.016949	217	0.870968	0.556185	665	0.318797	0.403000	0.395577	
689	0.298984	103	0.058252	208	0.903846	0.556185	689	0.298984	0.400000	0.395703	
741	0.330634	110	0.018182	149	0.932886	0.556185	741	0.330634	0.386000	0.395433	
725	0.332414	97	0.020619	178	0.904494	0.556185	725	0.332414	0.404000	0.395665	
743	0.344549	101	0.029703	156	0.878205	0.556185	743	0.344549	0.396000	0.395674	
750	0.314667	93	0.010753	157	0.853503	0.556185	750	0.314667	0.371000	0.395041	
714	0.330532	96	0.062500	190	0.947368	0.556185	714	0.330532	0.422000	0.395715	
726	0.285124	104	0.038462	170	0.852941	0.556185	726	0.285124	0.356000	0.394746	
708	0.303672	80	0.075000	212	0.891509	0.556185	708	0.303672	0.410000	0.395110	
718	0.309192	87	0.045977	195	0.933333	0.556185	718	0.309192	0.408000	0.395409	
709	0.300423	93	0.010753	198	0.904040	0.556185	709	0.300423	0.393000	0.395355	
620	0.251613	105	0.028571	275	0.941818	0.556185	620	0.251613	0.418000	0.395858	
677	0.316100	108	0.037037	215	0.953488	0.556185	677	0.316100	0.423000	0.396448	
650	0.275385	103	0.048544	247	0.935223	0.556185	650	0.275385	0.415000	0.396843	
714	0.287115	81	0.037037	205	0.887805	0.556185	714	0.287115	0.390000	0.396700	
749	0.329773	84	0.023810	167	0.952096	0.556185	749	0.329773	0.408000	0.396931	
722	0.328255	108	0.037037	170	0.935294	0.556185	722	0.328255	0.400000	0.396992	
733	0.334243	106	0.028302	161	0.919255	0.556185	733	0.334243	0.396000	0.396973	
712	0.316011	114	0.008772	174	0.862069	0.556185	712	0.316011	0.376000	0.396569	
735	0.346939	82	0.048780	183	0.967213	0.556185	735	0.346939	0.436000	0.397313	
739	0.331529	89	0.044944	172	0.906977	0.556185	739	0.331529	0.405000	0.397456	
756	0.302910	77	0.025974	167	0.922156	0.556185	756	0.302910	0.385000	0.397229	
746	0.340483	89	0.033708	165	0.872727	0.556185	746	0.340483	0.401000	0.397296	
740	0.297297	89	0.033708	171	0.883041	0.556185	740	0.297297	0.374000	0.396888	
729	0.310014	81	0.049383	190	0.963158	0.556185	729	0.310014	0.413000	0.397166	
738	0.295393	80	0.050000	182	0.906593	0.556185	738	0.295393	0.387000	0.396993	
686	0.330904	108	0.074074	206	0.932039	0.556185	686	0.330904	0.427000	0.397493	
775	0.307097	73	0.027397	152	0.921053	0.556185	775	0.307097	0.380000	0.397207	
729	0.288066	78	0.076923	193	0.896373	0.556185	729	0.288066	0.389000	0.397074	
722	0.329640	84	0.071429	194	0.850515	0.556185	722	0.329640	0.409000	0.397264	
696	0.301724	90	0.033333	214	0.920561	0.556185	696	0.301724	0.410000	0.397463	
630	0.273016	111	0.054054	259	0.972973	0.556185	630	0.273016	0.430000	0.397963	
637	0.265306	102	0.019608	261	0.942529	0.556185	637	0.265306	0.417000	0.398252	
715	0.321678	100	0.020000	185	0.870270	0.556185	715	0.321678	0.393000	0.398173	
706	0.298867	66	0.060606	228	0.881579	0.556185	706	0.298867	0.416000	0.398435	
757	0.284016	73	0.082192	170	0.888235	0.556185	757	0.284016	0.372000	0.398052	
736	0.316576	90	0.022222	174	0.942529	0.556185	736	0.316576	0.399000	0.398066	
749	0.311081	94	0.042553	157	0.936306	0.556185	749	0.311081	0.384000	0.397868	
731	0.339261	95	0.042105	174	0.885057	0.556185	731	0.339261	0.406000	0.397981	
755	0.319205	82	0.012195	163	0.926380	0.556185	755	0.319205	0.393000	0.397912	
740	0.289189	89	0.033708	171	0.935673	0.556185	740	0.289189	0.377000	0.397630	
737	0.306649	90	0.033333	173	0.982659	0.556185	737	0.306649	0.399000	0.397648	
740	0.266216	82	0.060976	178	0.966292	0.556185	740	0.266216	0.374000	0.397337	
703	0.312945	88	0.079545	209	0.923445	0.556185	703	0.312945	0.420000	0.397631	
716	0.318436	82	0.073171	202	0.886139	0.556185	716	0.318436	0.413000	0.397828	
705	0.317730	94	0.074468	201	0.905473	0.556185	705	0.317730	0.413000	0.398020	
697	0.325681	85	0.070588	218	0.940367	0.556185	697	0.325681	0.438000	0.398520	
721	0.299584	88	0.079545	191	0.926702	0.556185	721	0.299584	0.400000	0.398538	
681	0.284875	87	0.034483	232	0.892241	0.556185	681	0.284875	0.404000	0.398605	
634	0.348580	94	0.063830	272	0.933824	0.556185	634	0.348580	0.481000	0.399598	
646	0.376161	74	0.054054	280	0.939286	0.556185	646	0.376161	0.510000	0.400912	
633	0.333333	99	0.141414	268	0.861940	0.556185	633	0.333333	0.456000	0.401560	
456	0.449561	149	0.040268	395	0.860759	0.556185	456	0.449561	0.551000	0.403298	
347	0.158501	150	0.040000	503	0.872763	1.024560	347	0.158501	0.500000	0.404409	
510	0.229412	155	0.051613	335	0.862687	0.791606	510	0.229412	0.414000	0.404518	
729	0.203018	109	0.064220	162	0.907407	0.791606	729	0.203018	0.302000	0.403366	
726	0.163912	118	0.093220	156	0.897436	0.791606	726	0.163912	0.270000	0.401884	
639	0.286385	102	0.039216	259	0.938224	0.650893	639	0.286385	0.430000	0.402193	
